7,15,18,26,39,19
3,5,6,14,34,17
11,15,18,23,28,12
7,20,30,34,45,15
3,11,12,26,27,10
16,34,42,44,46,9
18,27,29,38,42,24
4,15,33,40,45,4
13,16,18,29,39,3
1,31,32,34,47,10
5,16,20,29,42,5
3,15,23,25,38,7
1,3,8,25,40,8
7,11,24,37,47,1
4,8,15,41,44,2
4,14,19,36,41,3
11,13,23,27,29,10
6,12,36,39,44,2
2,4,20,24,27,10
8,12,15,28,33,26
14,20,21,25,31,25
4,6,16,27,39,10
5,9,25,31,46,26
7,14,16,22,28,20
15,16,24,29,35,6
2,18,19,25,36,10
5,30,31,32,46,7
11,16,23,38,39,20
2,12,20,27,38,5
1,5,13,35,46,14
2,13,29,33,41,19
7,8,23,37,42,23
12,20,24,30,42,7
3,8,26,37,46,18
8,30,35,38,41,27
3,9,13,20,28,24
10,20,21,23,36,7
4,23,25,33,42,15
1,16,26,45,46,5
6,32,33,43,44,16
4,10,20,30,35,13
5,7,17,20,23,23
9,22,29,32,39,23
10,15,22,24,31,1
8,21,24,28,38,1
10,19,28,32,39,18
12,14,39,43,45,19
34,39,40,45,47,18
9,14,15,16,44,24
5,9,17,29,33,1
5,7,13,38,43,11
1,7,31,42,44,24
16,23,25,35,47,13
9,21,34,43,46,21
5,9,11,35,43,4
16,17,21,26,37,2
1,10,14,35,47,11
3,9,19,24,42,16
4,23,27,28,33,16
8,23,26,33,40,14
2,32,43,46,47,7
14,16,17,24,33,2
10,12,18,22,31,2
2,18,27,36,37,6
3,17,23,37,47,22
7,24,28,43,46,13
2,11,13,16,22,23
6,7,30,41,43,11
9,17,22,32,47,3
1,3,26,29,37,6
18,19,27,29,45,15
1,9,13,34,46,13
7,14,34,41,46,1
3,4,8,13,43,6
2,15,23,32,39,12
3,12,33,44,47,22
11,25,33,35,41,10
4,16,28,35,45,1
4,21,33,38,41,6
9,19,32,40,47,6
5,7,13,31,43,20
1,32,33,38,43,16
13,22,33,46,47,24
23,30,37,38,45,22
6,22,29,44,46,9
5,14,22,25,26,8
10,15,25,36,46,18
4,7,10,25,41,10
7,15,17,33,35,22
3,5,14,40,46,2
25,28,35,45,47,20
12,19,22,37,45,15
4,18,24,33,47,1
9,25,40,44,47,15
1,15,35,40,45,23
17,29,36,41,43,17
5,8,19,21,37,12
1,7,15,31,43,3
5,7,14,44,46,27
21,29,31,35,45,2
12,32,39,46,47,5
15,17,29,32,41,23
18,20,30,40,42,15
10,22,34,37,47,23
10,13,27,33,34,23
12,17,22,25,37,24
1,2,6,25,40,19
1,2,3,28,38,21
2,18,20,21,45,24
14,35,36,40,47,6
6,26,30,41,44,8
4,20,26,31,36,22
9,23,25,27,34,12
3,5,32,34,36,20
30,33,41,44,47,7
30,38,41,42,43,22
10,23,30,38,43,8
5,8,28,35,39,8
6,9,10,25,45,4
12,36,37,44,47,13
2,11,12,25,32,26
19,24,32,45,47,14
7,12,30,40,47,16
13,17,18,33,46,7
30,31,32,34,39,6
9,27,28,34,47,6
11,13,15,17,26,26
9,14,16,18,19,24
21,32,36,39,40,25
5,25,32,33,46,26
3,15,26,32,39,6
1,3,5,23,29,15
12,14,29,39,41,26
9,18,37,41,42,3
20,21,32,37,41,22
15,21,25,31,44,27
5,22,28,37,43,19
4,10,29,36,44,17
4,11,21,26,46,6
8,11,13,22,26,18
14,23,28,30,35,24
22,23,34,40,42,9
3,11,21,36,47,7
1,2,3,22,34,8
5,10,26,43,44,16
5,6,12,15,39,18
8,28,32,43,44,11
8,14,32,35,37,4
13,14,19,35,45,20
16,17,20,32,36,10
16,32,35,40,47,24
1,8,12,32,41,21
7,12,15,17,37,25
7,22,35,36,37,4
4,10,23,24,44,23
8,16,22,30,33,4
5,10,26,28,43,9
26,30,32,37,45,16
10,11,27,34,39,27
3,8,18,40,45,26
2,14,15,37,43,23
4,6,22,24,29,18
6,9,20,28,33,19
2,9,24,33,37,1
7,12,20,32,39,20
6,9,11,28,45,7
11,15,24,26,28,10
1,36,41,44,47,10
17,24,30,33,45,22
11,15,17,30,37,11
4,17,18,32,46,24
2,9,13,21,46,23
2,11,12,26,42,7
1,2,7,19,47,14
8,9,16,22,26,15
11,15,25,31,32,18
12,14,22,32,46,24
13,25,29,40,46,21
11,14,20,36,39,11
9,16,29,31,40,20
5,14,36,38,47,18
20,26,36,41,42,16
20,22,26,27,43,16
4,19,25,40,42,3
4,5,25,43,45,25
21,35,40,44,47,11
3,9,15,17,31,25
8,12,13,29,36,10
3,4,27,30,39,3
13,18,31,38,44,25
4,7,13,28,34,4
5,11,28,34,39,15
1,6,7,19,36,16
7,8,14,23,41,13
4,6,22,29,47,27
5,10,12,20,29,25
14,17,31,42,47,13
19,26,32,34,42,1
4,7,11,15,38,4
4,11,22,34,40,9
4,18,19,42,43,25
2,18,23,24,39,5
6,19,39,40,43,24
6,22,31,36,43,18
5,18,28,43,44,24
2,11,36,40,45,13
14,19,22,36,40,3
3,8,17,20,44,23
8,19,23,24,30,23
16,18,19,29,38,9
2,6,8,12,19,23
12,21,39,40,43,26
7,27,41,42,46,1
1,8,22,33,37,7
4,22,23,32,39,23
4,19,38,42,44,19
2,3,10,22,25,7
4,7,9,16,25,17
5,36,37,42,43,24
1,4,11,13,44,16
2,18,22,28,40,10
4,18,21,23,42,26
1,15,20,30,40,13
7,14,23,26,31,5
11,17,40,44,45,23
7,19,26,30,34,13
4,13,15,26,46,2
9,15,17,24,35,18
10,24,26,30,35,6
2,21,31,43,47,27
25,28,29,37,42,18
6,11,18,32,43,26
7,12,20,21,40,11
12,15,19,20,28,21
9,20,30,37,41,5
5,7,8,10,29,16
1,3,19,36,45,8
13,15,17,29,41,10
9,16,25,45,47,5
7,21,26,28,30,10
2,12,15,25,47,13
17,23,34,41,43,11
8,19,24,26,36,25
8,21,31,40,42,2
2,13,20,25,37,15
28,32,33,34,45,21
14,24,28,35,40,19
11,18,21,30,34,6
2,4,6,7,18,8
11,13,17,24,47,10
2,8,12,15,22,12
1,34,37,39,41,10
1,19,32,41,42,11
3,5,16,25,37,16
1,2,18,34,43,27
11,24,26,36,38,13
8,12,25,33,45,5
2,13,19,39,46,26
10,15,33,34,37,8
1,30,33,43,46,9
16,18,23,40,46,4
2,13,25,32,45,23
4,8,25,29,38,13
2,5,11,12,30,24
2,5,16,31,35,14
15,30,34,41,45,20
1,16,27,33,46,25
12,22,28,31,42,2
12,15,37,42,43,8
8,21,38,43,44,24
17,23,29,37,46,17
7,27,33,42,44,24
7,15,31,32,47,24
1,2,34,37,42,9
1,12,19,29,34,12
4,6,22,32,45,8
15,16,28,33,38,23
6,13,30,31,45,2
4,18,21,33,39,7
22,23,26,38,42,3
21,22,25,28,43,12
2,17,33,35,41,9
3,8,10,16,22,11
2,7,22,27,32,12
5,7,39,46,47,6
15,20,25,40,41,20
21,27,34,39,45,22
13,29,33,37,40,9
2,18,25,32,46,15
2,28,35,44,47,21
27,32,35,45,46,21
15,25,29,30,37,26
3,5,13,15,21,9
6,13,24,29,44,3
2,8,14,29,43,24
4,26,31,35,45,4
7,12,14,16,37,14
9,15,18,32,36,27
7,11,15,20,34,2
7,15,34,41,42,8
13,30,39,42,47,5
2,22,27,31,32,11
6,7,17,21,25,8
12,24,32,34,35,23
6,16,31,42,45,6
14,17,20,34,44,18
7,9,17,28,42,7
2,16,19,31,40,10
12,20,30,38,40,7
1,19,21,25,46,23
10,14,29,38,47,8
4,6,15,16,42,16
1,6,13,45,47,16
13,18,19,23,25,20
9,10,28,29,33,26
3,13,21,25,36,1
4,5,21,23,27,23
5,7,11,18,33,25
4,6,15,35,41,19
2,5,15,28,43,11
9,16,27,34,45,21
1,16,24,27,28,19
4,20,36,45,47,20
6,19,20,21,27,23
1,24,27,34,36,17
1,3,14,24,41,11
20,28,33,41,43,24
1,10,15,24,45,24
6,7,16,32,35,20
2,9,36,43,46,3
3,11,16,26,38,6
6,15,30,34,39,6
2,11,17,31,47,12
4,27,31,34,39,8
4,15,25,26,46,20
6,8,15,19,45,25
4,18,24,33,35,15
4,12,22,33,39,7
13,16,26,33,41,22
6,13,24,27,31,8
7,21,25,26,35,3
13,22,27,29,42,25
15,25,30,42,46,21
6,16,17,26,44,5
5,10,30,35,43,1
18,20,22,26,41,19
11,18,19,29,40,18
9,18,31,33,42,8
1,27,28,32,45,1
13,22,25,33,35,16
11,25,26,33,45,13
23,34,42,43,47,21
15,21,22,33,45,15
12,33,34,36,45,8
9,21,23,41,47,8
9,13,15,22,35,19
6,7,12,19,30,10
2,8,16,21,23,19
11,30,31,33,42,8
6,7,8,17,41,7
7,9,12,34,44,2
4,20,21,24,47,6
20,25,41,43,45,3
11,18,21,27,47,13
2,19,24,35,45,12
6,7,16,27,39,3
15,28,29,41,45,17
11,21,26,27,44,21
8,10,13,19,38,22
12,26,31,38,41,23
5,9,19,32,34,14
7,33,37,43,46,10
1,20,25,41,42,25
3,18,21,22,42,15
10,11,12,25,33,21
6,8,14,23,26,4
3,4,22,32,44,8
3,9,12,20,38,17
8,28,32,37,44,24
19,23,24,33,35,23
7,17,18,24,37,5
15,22,41,43,44,14
11,30,35,46,47,15
6,12,36,41,46,22
4,10,30,31,41,21
10,27,38,39,46,10
10,15,27,44,45,15
6,9,18,23,37,27
9,25,30,31,46,7
3,8,13,15,36,22
3,13,15,16,25,11
11,24,27,36,43,9
8,9,19,30,33,1
1,10,23,25,47,9
8,11,17,31,35,7
3,4,7,29,39,21
20,24,25,32,34,11
27,33,35,45,46,26
2,13,36,41,44,20
11,17,27,34,44,1
10,11,27,42,45,9
4,6,22,26,43,14
2,10,31,35,45,24
1,8,17,32,38,10
12,15,21,30,45,23
5,16,24,32,33,3
11,20,36,39,41,3
6,21,22,30,38,26
13,16,21,23,31,15
18,21,28,43,47,9
8,12,24,36,40,12
13,17,20,23,26,15
8,9,36,38,45,17
5,9,24,27,37,8
6,13,37,43,47,15
19,25,26,27,33,9
9,13,15,18,25,12
1,15,17,43,45,23
12,16,18,20,24,7
9,10,15,27,47,6
13,21,23,26,33,11
2,6,9,10,21,24
9,13,25,29,32,9
2,9,10,39,46,19
5,9,14,26,29,25
13,23,33,34,38,4
10,22,35,40,47,26
17,21,26,37,42,11
3,22,24,32,35,7
4,6,8,36,41,17
4,11,28,34,42,26
7,8,11,15,31,27
13,17,29,34,38,4
1,7,14,17,20,27
9,12,22,30,46,24
4,8,32,34,43,14
3,9,12,13,38,26
4,7,10,25,32,22
4,18,19,43,47,5
10,30,31,34,42,2
3,5,24,25,41,7
1,9,15,16,29,9
6,15,25,27,39,17
19,24,34,35,42,23
7,9,17,31,47,16
16,34,37,44,47,22
22,25,31,40,42,16
9,21,23,30,36,10
1,12,18,22,42,18
17,23,36,38,46,18
11,16,29,41,46,11
13,20,25,29,39,21
14,27,35,36,37,5
11,30,34,40,42,1
9,15,20,24,43,2
5,8,33,38,47,25
19,22,33,41,42,17
1,3,16,38,47,21
5,9,14,39,47,27
1,2,14,44,45,25
19,20,21,24,45,13
11,21,23,29,41,9
1,7,11,39,46,11
19,21,26,30,42,25
19,29,36,37,41,20
13,14,29,39,43,26
4,12,14,44,47,18
2,17,40,44,46,11
6,25,35,39,45,23
7,11,15,31,45,3
26,29,33,42,44,22
10,14,23,34,39,25
7,13,29,36,40,22
2,4,17,45,47,1
4,9,19,24,41,9
10,13,14,21,42,15
8,19,20,21,41,3
8,14,18,28,29,2
19,30,37,40,44,6
13,18,19,31,41,12
3,5,6,30,32,17
5,14,27,30,44,17
5,29,30,42,44,20
16,22,31,33,42,19
12,17,26,33,42,20
1,10,13,14,47,20
28,30,34,35,43,2
6,10,12,24,45,10
15,33,37,38,47,16
4,6,15,24,28,27
6,10,34,39,44,1
1,12,29,38,39,19
6,10,15,18,23,22
19,27,31,33,38,1
1,10,11,26,32,10
22,30,33,43,47,25
3,6,8,36,47,13
12,13,26,30,38,24
2,6,11,16,43,12
1,8,18,26,44,4
13,25,29,45,46,5
4,18,20,23,39,14
7,13,34,39,47,3
1,4,22,41,42,13
6,17,33,44,46,18
5,17,18,22,28,10
5,24,30,41,47,15
2,27,37,41,47,26
2,5,17,25,33,18
9,13,27,41,42,27
6,13,14,36,37,12
6,7,18,36,42,23
5,6,16,26,32,22
20,25,29,35,41,25
7,9,25,29,47,24
5,8,29,36,47,23
23,31,40,44,46,10
22,23,27,28,41,17
6,13,18,26,39,24
8,12,19,25,39,17
4,12,20,36,47,13
26,31,32,43,45,18
10,23,24,34,40,20
1,3,6,25,41,10
12,18,21,24,28,26
3,8,18,22,31,2
1,6,11,17,33,13
10,15,17,37,38,17
7,15,25,27,42,24
3,13,18,23,37,25
16,23,35,40,41,12
16,21,24,30,44,6
6,11,29,31,44,1
9,11,20,30,36,11
12,29,31,37,47,3
3,12,18,36,43,15
22,23,31,39,47,3
5,7,8,14,35,26
7,15,23,38,39,21
2,6,27,35,36,1
5,19,27,36,42,27
11,15,26,32,42,18
6,7,26,42,43,1
23,24,26,28,29,11
1,20,29,34,38,27
2,5,8,21,32,20
6,26,36,40,46,19
5,6,20,36,44,18
13,18,29,35,41,19
7,18,34,35,43,25
2,4,12,34,46,16
12,18,19,21,30,4
8,18,21,41,46,24
4,7,17,31,33,1
12,14,27,29,30,27
3,7,23,31,36,16
7,28,34,38,45,6
26,37,38,44,45,9
22,31,36,43,45,16
8,15,34,38,47,2
17,34,39,40,46,4
5,6,12,24,44,12
8,16,21,28,29,1
1,13,19,23,25,12
25,27,30,32,38,2
1,6,10,23,40,18
15,26,29,40,42,25
4,11,15,23,34,26
14,23,24,25,44,18
4,23,33,35,45,14
4,34,35,38,43,17
8,13,21,26,41,20
5,22,25,29,35,7
6,15,21,29,37,10
8,17,20,26,38,19
1,19,39,44,45,8
25,29,30,31,38,25
17,30,35,40,41,2
5,14,37,44,47,25
3,13,29,40,42,9
14,19,22,32,38,1
7,10,23,26,40,26
10,15,16,46,47,22
20,34,41,42,46,26
20,22,25,32,45,12
30,33,38,46,47,11
15,26,29,37,45,22
14,15,19,25,34,8
4,6,21,32,36,3
6,7,37,41,47,13
1,12,17,20,21,25
13,17,18,20,46,6
8,18,27,29,39,23
2,22,37,42,45,19
7,16,35,40,47,24
10,26,31,32,40,23
3,11,28,30,38,12
3,20,28,29,41,14
3,24,25,43,45,20
13,15,26,27,36,10
9,11,27,36,39,10
7,10,23,24,40,26
25,30,33,37,38,1
6,13,17,18,25,9
8,15,25,33,42,23
5,13,15,20,36,24
4,7,21,31,32,26
1,6,20,40,41,18
12,23,33,37,44,5
19,26,27,40,47,21
6,13,19,21,41,16
7,25,27,32,36,12
6,7,34,35,47,23
5,7,11,20,22,11
2,4,13,20,41,22
10,18,20,36,42,25
13,22,29,43,47,4
3,8,10,30,37,13
6,16,25,26,36,19
8,12,23,32,39,25
9,11,14,24,39,17
6,11,17,38,41,25
1,3,6,12,47,22
3,11,12,25,29,21
7,9,14,28,41,11
2,6,9,33,36,20
10,29,33,40,41,19
10,12,19,22,35,16
19,20,28,32,47,22
2,13,41,44,46,26
7,22,27,28,32,20
20,21,33,40,44,2
10,14,17,29,41,26
5,17,30,41,44,14
10,29,30,33,41,18
11,20,27,30,44,13
7,9,26,28,37,18
14,30,31,39,42,15
4,23,29,33,44,5
7,22,25,33,44,3
6,8,11,25,29,4
3,4,10,28,39,26
2,4,19,31,42,12
1,13,20,30,44,20
13,24,35,41,46,5
7,19,29,37,43,22
11,20,24,25,33,23
17,26,35,42,45,4
8,10,22,33,44,10
13,14,34,35,40,16
4,12,17,20,31,20
6,21,22,34,38,14
3,5,6,19,25,20
5,13,14,27,37,9
15,19,20,34,40,17
5,17,23,42,43,19
2,6,7,24,31,3
5,7,21,29,43,22
1,11,18,19,34,13
8,9,10,28,35,9
4,5,16,43,47,20
14,15,23,31,40,7
4,11,22,29,31,12
10,16,19,21,39,15
14,17,18,19,41,26
4,10,20,34,47,19
17,22,35,36,47,25
15,22,23,40,42,15
2,25,33,35,41,10
2,6,17,41,45,1
22,25,33,41,45,9
2,19,23,45,46,16
23,30,34,39,41,1
2,20,30,31,46,27
10,11,16,35,43,9
10,18,28,40,47,22
2,23,29,32,42,20
21,25,28,34,42,10
7,18,22,30,43,5
9,15,34,39,40,10
1,10,23,41,43,8
14,36,37,41,45,26
3,15,18,40,41,4
5,14,22,24,30,25
12,26,27,28,29,24
2,6,16,33,35,5
14,27,30,44,46,3
2,3,7,14,38,20
16,21,26,39,42,14
17,18,26,31,38,19
5,10,13,33,34,22
2,9,16,25,36,11
6,15,18,24,35,21
14,23,33,38,40,27
8,12,21,31,39,25
3,30,36,38,43,26
7,20,26,31,47,10
1,14,21,35,36,7
14,31,39,45,47,27
15,33,38,44,45,4
12,13,14,16,31,15
5,9,10,20,25,5
8,9,13,22,24,26
8,11,18,37,46,15
7,16,18,20,35,19
2,4,29,32,47,26
9,17,18,25,34,22
3,5,11,26,43,5
19,27,31,44,47,22
7,13,27,31,41,19
15,21,30,37,39,20
4,14,16,40,42,23
8,11,13,15,19,27
9,12,21,33,42,17
2,10,20,26,46,16
7,23,24,30,45,5
21,30,34,37,39,5
6,13,15,34,41,20
5,14,22,39,47,10
17,18,19,31,33,16
21,27,29,38,40,11
15,18,24,25,45,12
24,34,37,39,40,12
1,18,24,25,37,4
2,8,16,23,42,7
6,10,11,15,21,27
2,33,36,39,46,7
19,20,28,32,47,27
4,9,11,15,25,18
12,19,27,43,44,20
3,19,23,36,39,8
1,16,24,41,42,12
3,5,18,33,35,1
22,23,28,32,39,14
6,34,35,36,39,13
